Wall time,Step,Value
1715453085.429461,2000,266.0
1715453089.7730966,4000,419.0
1715453093.8000185,6000,699.8333129882812
1715453097.9632123,8000,709.5555419921875
1715453102.1799574,10000,739.25
1715453105.9935305,12000,725.4666748046875
1715453109.6710815,14000,717.0
1715453113.3411942,16000,713.0
1715453117.0463142,18000,740.952392578125
1715453129.9848306,20000,768.1666870117188
1715453133.838451,22000,760.5
1715453137.7551486,24000,742.9000244140625
1715453141.5989408,26000,734.7647094726562
1715453145.3190994,28000,740.75
1715453149.219503,30000,723.8780517578125
1715453153.1480527,32000,693.066650390625
1715453158.4955518,34000,669.276611328125
1715453163.8739238,36000,663.6346435546875
1715453168.0413156,38000,656.4035034179688
1715453180.4944327,40000,643.1166381835938
1715453184.6075664,42000,636.2698364257812
1715453188.3383112,44000,637.6764526367188
1715453192.501087,46000,623.1267700195312
1715453197.2839594,48000,605.8311767578125
1715453202.8090875,50000,560.4318237304688
1715453206.8724096,52000,542.5484008789062
1715453210.7268882,54000,530.1099853515625
1715453214.5660923,56000,479.07000732421875
1715453218.4130638,58000,451.42999267578125
1715453231.6854005,60000,390.2900085449219
1715453235.4823248,62000,361.57000732421875
1715453239.3458302,64000,353.44000244140625
1715453243.275981,66000,321.8800048828125
1715453247.1006162,68000,241.2100067138672
1715453252.0512054,70000,178.82000732421875
1715453256.624038,72000,136.50999450683594
1715453262.0964665,74000,79.56999969482422
1715453266.781985,76000,62.75
1715453272.16841,78000,51.619998931884766
1715453288.710915,80000,45.650001525878906
1715453294.1747303,82000,39.970001220703125
1715453299.2803829,84000,40.25
1715453303.9513714,86000,38.43000030517578
1715453308.6879542,88000,36.40999984741211
1715453313.1021984,90000,34.81999969482422
1715453318.2245722,92000,33.75
1715453322.7323117,94000,32.220001220703125
1715453327.5927753,96000,31.350000381469727
1715453333.8358636,98000,32.529998779296875
1715453340.559345,100000,31.59000015258789
1715453346.492489,102000,31.719999313354492
1715453351.5876756,104000,31.899999618530273
1715453356.5670402,106000,29.790000915527344
1715453361.3107417,108000,29.260000228881836
1715453365.7811687,110000,29.219999313354492
1715453371.238796,112000,29.030000686645508
1715453377.1160698,114000,28.790000915527344
1715453382.5644648,116000,29.049999237060547
1715453387.1822734,118000,28.790000915527344
1715453392.109356,120000,28.540000915527344
1715453396.3336165,122000,28.489999771118164
1715453400.2781713,124000,28.34000015258789
1715453404.1443043,126000,28.360000610351562
1715453408.3070688,128000,28.18000030517578
1715453412.6369581,130000,27.90999984741211
1715453416.716755,132000,28.049999237060547
1715453421.1132138,134000,27.770000457763672
1715453425.260358,136000,27.90999984741211
1715453431.0227177,138000,27.860000610351562
1715453436.4539428,140000,27.920000076293945
1715453440.768956,142000,27.719999313354492
1715453445.0102494,144000,27.959999084472656
1715453450.1559262,146000,27.700000762939453
1715453455.151924,148000,27.530000686645508
1715453461.0691857,150000,27.639999389648438
1715453466.8921494,152000,27.670000076293945
1715453471.6594949,154000,27.540000915527344
1715453475.790133,156000,27.649999618530273
1715453480.6526618,158000,27.520000457763672
1715453485.519763,160000,27.440000534057617
1715453489.7749496,162000,27.479999542236328
1715453494.5029678,164000,27.31999969482422
1715453501.900217,166000,27.600000381469727
1715453509.191433,168000,27.549999237060547
1715453520.509224,170000,27.639999389648438
1715453529.5412745,172000,27.329999923706055
1715453537.502544,174000,27.34000015258789
1715453545.1660855,176000,27.43000030517578
1715453555.3692992,178000,28.049999237060547
1715453563.0191157,180000,27.829999923706055
1715453571.043366,182000,27.34000015258789
1715453578.6172042,184000,27.360000610351562
1715453587.3935144,186000,27.350000381469727
1715453595.98566,188000,27.40999984741211
1715453605.1013846,190000,27.479999542236328
1715453613.574942,192000,27.290000915527344
1715453622.1205664,194000,27.290000915527344
1715453630.879394,196000,27.290000915527344
1715453639.3828695,198000,27.139999389648438
1715453649.2662108,200000,27.15999984741211
