Wall time,Step,Value
1715394034.2901483,800,200.0
1715394034.8572097,1600,200.0
1715394035.4263356,2400,200.0
1715394036.0113938,3200,200.0
1715394036.593653,4000,200.0
1715394037.2137442,4800,200.0
1715394037.91083,5600,200.0
1715394038.4704113,6400,200.0
1715394039.0420976,7200,200.0
1715394039.649394,8000,200.0
1715394040.2273257,8800,200.0
1715394040.7900298,9600,200.0
1715394041.400667,10400,200.0
1715394041.9889817,11200,200.0
1715394042.6189628,12000,200.0
1715394043.241201,12800,200.0
1715394043.8730133,13600,200.0
1715394044.5385373,14400,200.0
1715394045.1800156,15200,200.0
1715394045.80897,16000,200.0
1715394046.4138815,16800,200.0
1715394047.0211468,17600,200.0
1715394047.6434634,18400,200.0
1715394048.2440374,19200,200.0
1715394048.9172556,20000,200.0
1715394049.506824,20800,200.0
1715394050.126625,21600,200.0
1715394050.7101455,22400,200.0
1715394051.290887,23200,200.0
1715394051.8958,24000,200.0
1715394052.4882102,24800,200.0
1715394053.078524,25600,200.0
1715394053.653641,26400,200.0
1715394054.260551,27200,200.0
1715394054.894588,28000,200.0
1715394055.5431101,28800,200.0
1715394056.1570206,29600,200.0
1715394056.7481117,30400,200.0
1715394057.4181244,31200,200.0
1715394058.0585172,32000,200.0
1715394058.6579692,32800,200.0
1715394059.3123395,33600,200.0
1715394059.9387467,34400,200.0
1715394060.5960157,35200,200.0
1715394061.2167313,36000,200.0
1715394061.849821,36800,200.0
1715394062.496618,37600,200.0
1715394063.1402922,38400,200.0
1715394063.7488146,39200,200.0
1715394064.3381636,40000,200.0
1715394064.9512863,40800,200.0
1715394065.5941157,41600,200.0
1715394066.2529001,42400,200.0
1715394066.9599404,43200,200.0
1715394067.6707878,44000,200.0
1715394068.3599753,44800,200.0
1715394069.0375812,45600,200.0
1715394069.7346692,46400,200.0
1715394070.3643568,47200,200.0
1715394071.0345643,48000,200.0
1715394071.7207825,48800,200.0
1715394072.4894469,49600,200.0
1715394073.1885293,50400,200.0
1715394073.8219461,51200,200.0
1715394074.4959602,52000,200.0
1715394075.1659777,52800,200.0
1715394075.8328757,53600,200.0
1715394076.5127552,54400,200.0
1715394077.2237961,55200,200.0
1715394077.857279,56000,200.0
1715394078.496398,56800,200.0
1715394079.1845217,57600,200.0
1715394079.83961,58400,200.0
1715394080.4423301,59200,200.0
1715394081.1148815,60000,200.0
1715394081.7740967,60800,200.0
1715394082.4099941,61600,200.0
1715394083.0481844,62400,200.0
1715394083.6935067,63200,200.0
1715394084.3188744,64000,200.0
1715394084.9885938,64800,200.0
1715394085.64788,65600,200.0
1715394086.294475,66400,200.0
1715394086.9644303,67200,200.0
1715394087.5835464,68000,200.0
1715394088.2695756,68800,200.0
1715394088.941738,69600,200.0
1715394089.6241539,70400,200.0
1715394090.2338793,71200,200.0
1715394090.8335507,72000,200.0
1715394091.4718344,72800,200.0
1715394092.078812,73600,200.0
1715394092.7065787,74400,200.0
1715394093.317052,75200,200.0
1715394093.9512823,76000,200.0
1715394094.5752957,76800,200.0
1715394095.206123,77600,200.0
1715394095.837145,78400,200.0
1715394096.4750493,79200,200.0
1715394097.0933597,80000,200.0
1715394097.7362216,80800,200.0
1715394098.363227,81600,200.0
1715394098.9643273,82400,200.0
1715394099.570327,83200,200.0
1715394100.2281349,84000,200.0
1715394100.8392808,84800,200.0
1715394101.4783237,85600,200.0
1715394102.1304545,86400,200.0
1715394102.741476,87200,200.0
1715394103.36751,88000,200.0
1715394104.0111442,88800,200.0
1715394104.6616578,89600,200.0
1715394105.259153,90400,200.0
1715394105.8881485,91200,200.0
1715394106.53188,92000,200.0
1715394107.183997,92800,200.0
1715394107.7945223,93600,200.0
1715394108.3976297,94400,200.0
1715394109.0165882,95200,200.0
1715394109.6562834,96000,200.0
1715394110.2646575,96800,200.0
1715394110.9036334,97600,200.0
1715394111.5294325,98400,200.0
1715394112.1754675,99200,200.0
1715394112.7883403,100000,200.0
1715394113.4041998,100800,200.0
1715394114.0676887,101600,200.0
1715394114.6799812,102400,200.0
1715394115.29287,103200,200.0
1715394115.9103854,104000,199.72999572753906
1715394116.5534406,104800,199.72999572753906
1715394117.1584127,105600,199.72999572753906
1715394117.8342097,106400,199.72999572753906
1715394118.4679894,107200,199.72999572753906
1715394119.0892918,108000,199.72999572753906
1715394119.720753,108800,199.72999572753906
1715394120.3495946,109600,199.72999572753906
1715394120.9688058,110400,199.72999572753906
1715394121.605925,111200,199.72999572753906
1715394122.2079718,112000,199.72999572753906
1715394122.8213158,112800,199.72999572753906
1715394123.4156377,113600,199.72999572753906
1715394124.0180764,114400,199.72999572753906
1715394124.6484475,115200,199.72999572753906
1715394125.2571032,116000,199.72999572753906
1715394125.8514,116800,199.72999572753906
1715394126.4777806,117600,199.72999572753906
1715394127.1126416,118400,199.72999572753906
1715394127.721717,119200,199.72999572753906
1715394128.344877,120000,199.72999572753906
1715394128.966866,120800,199.72999572753906
1715394129.60865,121600,199.72999572753906
1715394130.2573364,122400,199.72999572753906
1715394130.8863194,123200,199.72999572753906
1715394131.53442,124000,200.0
1715394132.232333,124800,200.0
1715394132.89369,125600,200.0
1715394133.6220176,126400,200.0
1715394134.295027,127200,200.0
1715394134.9788582,128000,200.0
1715394135.5847921,128800,200.0
1715394136.1849158,129600,200.0
1715394136.8229697,130400,200.0
1715394137.424234,131200,200.0
1715394138.0357788,132000,200.0
1715394138.6777961,132800,200.0
1715394139.3131287,133600,200.0
1715394139.9490983,134400,200.0
1715394140.617472,135200,200.0
1715394141.2294297,136000,200.0
1715394141.8527224,136800,200.0
1715394142.4941738,137600,200.0
1715394143.1338358,138400,200.0
1715394143.7824981,139200,200.0
1715394144.4028246,140000,200.0
1715394145.0978367,140800,200.0
1715394145.7285028,141600,200.0
1715394146.3979032,142400,200.0
1715394147.0289352,143200,200.0
1715394147.6986434,144000,200.0
1715394148.3509874,144800,200.0
1715394149.0212271,145600,200.0
1715394149.6505454,146400,200.0
1715394150.2935843,147200,200.0
1715394150.9440024,148000,200.0
1715394151.6232975,148800,200.0
1715394152.2915797,149600,200.0
1715394152.9674885,150400,200.0
1715394153.6304915,151200,200.0
1715394154.2502062,152000,200.0
