Wall time,Step,Value
1715397020.0695925,800,-442.5
1715397020.7052627,1600,-397.5
1715397021.4387672,2400,-390.0
1715397022.0589607,3200,-394.375
1715397022.7162359,4000,-383.5
1715397023.336457,4800,-364.9626159667969
1715397023.9286537,5600,-346.0064697265625
1715397024.5800822,6400,-320.5227355957031
1715397025.1978939,7200,-303.68597412109375
1715397025.8382857,8000,-286.963134765625
1715397026.3478193,8632,-278.7415466308594
1715397027.0330696,9432,-266.7456359863281
1715397027.7576082,10232,-259.8805847167969
1715397028.4532492,11024,-247.3737030029297
1715397029.2278502,11824,-238.2154541015625
1715397029.6480458,12280,-227.67381286621094
1715397030.3876843,13048,-216.9141387939453
1715397030.9020495,13568,-206.9214324951172
1715397031.6130826,14368,-199.57200622558594
1715397032.3561575,15168,-193.09341430664062
1715397033.0499895,15844,-185.4247283935547
1715397033.4038072,16216,-178.4530487060547
1715397034.0940943,16964,-171.76158142089844
1715397034.4197316,17348,-164.9917755126953
1715397034.8351903,17776,-158.66439819335938
1715397035.0764644,18036,-141.13563537597656
1715397035.914408,18836,-127.10986328125
1715397036.2360737,19204,-112.18171691894531
1715397036.442788,19432,-95.8531723022461
1715397036.9278145,19996,-82.21695709228516
1715397037.4461048,20536,-71.29837036132812
1715397037.899007,21040,-61.98872375488281
1715397038.608459,21732,-56.07883834838867
1715397038.941775,22036,-48.46965789794922
1715397039.49157,22572,-42.742435455322266
1715397040.245405,23372,-36.34260940551758
1715397041.01331,24172,-31.041528701782227
1715397041.449325,24656,-23.014385223388672
1715397041.8825896,25044,-20.504077911376953
1715397042.6120374,25728,-16.08604621887207
1715397043.43993,26528,-13.495368957519531
1715397044.066575,27188,-11.796186447143555
1715397044.6759248,27828,-9.987381935119629
1715397045.3011332,28488,-7.678796768188477
1715397046.0018501,29272,-4.860853672027588
1715397046.4734628,29824,-3.5615038871765137
1715397046.8765326,30268,-2.2518467903137207
1715397047.3559146,30796,-1.242013692855835
1715397047.607554,31068,-0.8422070145606995
1715397048.163973,31680,-0.5422422289848328
1715397048.3183227,31812,-0.34305956959724426
1715397048.9807837,32480,-0.2331474870443344
1715397049.1191623,32640,-0.11396484076976776
1715397049.219201,32748,-0.11322654783725739
1715397049.3563747,32912,-0.1103876605629921
1715397049.5898604,33128,-0.5086913704872131
1715397049.7914126,33344,-0.4885067939758301
1715397050.183274,33764,-0.5784276723861694
1715397050.5217137,34144,-0.5683925151824951
1715397050.8933234,34572,-0.3860546052455902
1715397051.4302278,35192,-0.3671708106994629
1715397051.9162307,35744,-0.2578739523887634
1715397052.1221306,35992,-0.2476014643907547
1715397052.7693446,36704,-0.24754874408245087
1715397053.1945314,37164,-0.43862101435661316
1715397053.693983,37628,-0.22935928404331207
1715397054.498047,38368,-0.12978994846343994
1715397055.2886333,39168,-0.14794424176216125
1715397056.0714672,39968,-0.14639736711978912
1715397056.1720915,40076,-0.24553601443767548
1715397056.459055,40388,-0.22420886158943176
1715397056.6568651,40628,-0.21412095427513123
1715397057.2031343,41248,-0.2136726975440979
1715397057.3452466,41408,-0.41482406854629517
1715397057.5798154,41684,-0.4044109582901001
1715397058.245989,42444,-0.4140594005584717
1715397058.629586,42892,-0.42108866572380066
1715397059.4060235,43692,-0.5586541295051575
1715397059.9399195,44216,-0.6805086135864258
1715397060.2881906,44600,-0.6923543810844421
1715397060.5010915,44808,-0.28267955780029297
1715397060.7522945,45080,-0.28391003608703613
1715397061.1010356,45488,-0.1851668804883957
1715397061.726662,46060,-0.18560633063316345
1715397062.2706022,46488,-0.1763094663619995
1715397062.862482,47008,-0.37728506326675415
1715397062.9952261,47132,-0.35784754157066345
1715397063.222908,47332,-0.5473465323448181
1715397063.4575748,47548,-0.5362830758094788
1715397063.6988285,47728,-0.3249910771846771
1715397064.4002743,48344,-0.5160281658172607
1715397064.5975661,48528,-0.49640610814094543
1715397064.7120702,48636,-0.4663006067276001
1715397064.9030223,48860,-0.44599297642707825
1715397065.0550313,49020,-0.9268279671669006
1715397065.2307818,49200,-1.1268367767333984
1715397065.3304157,49308,-1.326001763343811
1715397065.4338548,49424,-1.51529860496521
1715397065.5549858,49532,-1.403488039970398
1715397065.7424984,49744,-1.502732276916504
1715397065.9280124,49960,-1.4817830324172974
1715397066.0462406,50100,-1.4734002351760864
1715397066.5100274,50612,-1.3371882438659668
1715397066.6596777,50780,-1.2159138917922974
1715397067.065774,51232,-1.2070125341415405
1715397067.5106418,51712,-1.4096579551696777
1715397068.056095,52220,-1.419403076171875
1715397068.3029265,52444,-1.6099040508270264
1715397068.4329426,52552,-1.5985769033432007
1715397069.1226962,53124,-1.5987966060638428
1715397069.5213778,53480,-1.3888493776321411
1715397069.839642,53776,-1.3979792594909668
1715397070.558443,54456,-1.2175837755203247
1715397070.7677345,54656,-1.2293767929077148
1715397071.2322187,55064,-1.3300271034240723
1715397071.5832565,55340,-1.4199479818344116
1715397072.0297742,55732,-1.4106687307357788
1715397072.2795665,55972,-1.512496829032898
1715397072.8942158,56548,-1.4232263565063477
1715397073.1318886,56760,-0.933173656463623
1715397073.6552663,57332,-0.8343513607978821
1715397073.8254344,57508,-0.8538680076599121
1715397073.9549365,57656,-0.8546590209007263
1715397074.0762985,57788,-0.7550017833709717
1715397074.3937018,58128,-1.556355357170105
1715397074.7412157,58520,-2.058499813079834
1715397074.846456,58636,-2.0564870834350586
1715397075.5806818,59436,-2.2836132049560547
1715397076.3322513,60228,-2.412505626678467
1715397076.7616782,60696,-2.6400887966156006
1715397077.6054256,61456,-2.4671883583068848
1715397078.3575785,62144,-2.4768455028533936
1715397078.911911,62740,-2.3954129219055176
1715397079.183984,63076,-2.415667772293091
1715397079.9804473,63836,-2.5160281658172607
1715397080.303141,64156,-2.633514642715454
1715397080.959323,64856,-2.6275486946105957
1715397081.169958,65060,-2.9098427295684814
1715397081.6231186,65456,-2.9080848693847656
1715397082.3662844,66068,-2.8276190757751465
1715397082.7802157,66528,-2.53615140914917
1715397083.4562855,67268,-2.555421829223633
1715397084.0978577,67900,-2.483400344848633
1715397084.5559971,68368,-2.5851142406463623
1715397084.8513606,68636,-2.4755361080169678
1715397085.2180166,69000,-2.3853867053985596
1715397085.8225422,69588,-2.1762919425964355
1715397086.560883,70388,-2.0154218673706055
1715397087.0135007,70884,-2.1252548694610596
1715397087.438854,71324,-1.3532508611679077
1715397088.0440671,71988,-0.96253901720047
1715397088.460752,72460,-0.9837607145309448
1715397088.661207,72688,-0.8560370802879333
1715397088.964934,73004,-0.9280673861503601
1715397089.2558353,73272,-0.6986034512519836
1715397089.5910687,73588,-1.0788143873214722
1715397089.8828967,73884,-1.1598602533340454
1715397090.0537665,74076,-1.240194320678711
1715397090.1475637,74184,-1.220686435699463
1715397090.2531743,74292,-1.30886709690094
1715397090.465017,74468,-1.2887001037597656
1715397090.680231,74696,-1.5861775875091553
1715397090.8739853,74872,-1.2842967510223389
1715397091.2996218,75352,-1.9768719673156738
1715397091.821,75896,-2.5587265491485596
1715397092.0667863,76164,-2.6589725017547607
1715397092.83331,76964,-2.6769773960113525
1715397093.624602,77764,-2.6862215995788574
1715397094.0920238,78288,-2.677372932434082
1715397094.1908705,78396,-2.675457000732422
1715397094.6227415,78844,-2.875210762023926
