Wall time,Step,Value
1715398880.6992805,400,-171.60479736328125
1715398881.0060859,800,-180.83270263671875
1715398881.4207475,1200,-171.5548553466797
1715398881.7401793,1600,-115.09490966796875
1715398882.067573,2000,-104.64097595214844
1715398882.430284,2400,-110.49079132080078
1715398882.7659135,2800,-75.16383361816406
1715398883.0848496,3200,-81.15995025634766
1715398883.4249918,3600,-83.75325012207031
1715398883.779181,4000,-85.07398223876953
1715398883.9849486,4264,-75.17668151855469
1715398884.274272,4664,-77.79776000976562
1715398884.554137,5020,-55.19032287597656
1715398884.8780925,5420,-58.928287506103516
1715398885.218269,5820,-57.43690490722656
1715398885.4127738,6052,-52.73495101928711
1715398885.7332296,6452,-50.87649154663086
1715398886.0842838,6852,-49.8067512512207
1715398886.421814,7252,-50.684303283691406
1715398886.7850592,7652,-49.314422607421875
1715398887.0682485,7992,-41.55943298339844
1715398887.4077148,8392,-29.66743278503418
1715398887.7803109,8792,-28.372365951538086
1715398888.0210333,9064,-22.234996795654297
1715398888.2375078,9324,-15.555667877197266
1715398888.5986195,9708,1.831890344619751
1715398888.9574935,10108,9.066514015197754
1715398889.230888,10412,21.262102127075195
1715398889.5767353,10812,30.121849060058594
1715398889.7851803,11024,40.428619384765625
1715398890.1172075,11388,52.6866455078125
1715398890.4590528,11788,53.758636474609375
1715398890.7954571,12188,59.40452194213867
1715398890.962034,12376,74.2956314086914
1715398891.332235,12776,89.39189910888672
1715398891.7067845,13176,89.5694808959961
1715398892.005714,13472,98.4008560180664
1715398892.3352032,13788,95.6573486328125
1715398892.5541186,14032,111.39434814453125
1715398892.8807144,14344,119.34394073486328
1715398893.23765,14744,121.3193588256836
1715398893.4453585,14964,129.52572631835938
1715398893.8357995,15364,131.6028594970703
1715398894.0825634,15632,146.9066925048828
1715398894.3646092,15944,151.4852752685547
1715398894.6388764,16240,150.16749572753906
1715398895.013144,16640,144.6784210205078
1715398895.3822336,17028,152.01907348632812
1715398895.6268756,17304,155.71971130371094
1715398895.998639,17704,157.35618591308594
1715398896.3008575,18032,153.92547607421875
1715398896.6129658,18376,166.37954711914062
1715398897.003981,18776,168.392822265625
1715398897.3982143,19176,160.95521545410156
1715398897.7722402,19576,158.2704315185547
1715398898.1367962,19976,155.17636108398438
1715398898.3573978,20176,157.53692626953125
1715398898.7884436,20576,160.5833740234375
1715398899.1729438,20952,158.9921417236328
1715398899.4490964,21252,161.03944396972656
1715398899.833965,21652,164.24151611328125
1715398900.0292017,21856,173.0751190185547
1715398900.4598386,22256,171.83798217773438
1715398900.8540897,22656,165.24778747558594
1715398901.2140205,23056,161.41830444335938
1715398901.5967047,23456,163.2777099609375
1715398901.8948276,23752,165.55270385742188
1715398902.2756715,24152,168.77105712890625
1715398902.6457992,24552,161.30259704589844
1715398903.0251656,24952,162.04612731933594
1715398903.4308,25352,163.44549560546875
1715398903.7482102,25704,168.43643188476562
1715398904.1436257,26104,165.7262420654297
1715398904.263527,26212,174.01170349121094
1715398904.57816,26552,174.41162109375
1715398904.90299,26888,175.08786010742188
1715398905.115458,27116,171.48239135742188
1715398905.4808643,27516,167.37554931640625
1715398905.8568308,27916,172.67822265625
1715398906.0569985,28136,180.61744689941406
1715398906.2753985,28388,185.8623504638672
1715398906.6952393,28788,180.99441528320312
1715398907.0595207,29188,181.0100555419922
1715398907.4241889,29588,175.64317321777344
1715398907.6208432,29812,174.62281799316406
1715398907.9221041,30136,178.630126953125
1715398908.2316635,30476,173.54112243652344
1715398908.5756178,30864,176.37547302246094
1715398908.6519773,30940,184.06982421875
1715398908.7731476,31072,198.08030700683594
1715398909.1670241,31460,202.40420532226562
1715398909.5471284,31860,197.3527069091797
1715398909.88702,32252,202.10609436035156
1715398910.16421,32544,205.41030883789062
1715398910.435901,32852,209.7910614013672
1715398910.7391293,33188,213.7099609375
1715398911.1220224,33588,213.5760955810547
1715398911.4767773,33988,213.9264678955078
1715398911.8503933,34388,200.9806365966797
1715398912.2623801,34788,196.74940490722656
1715398912.4032984,34944,197.88290405273438
1715398912.706045,35252,202.63877868652344
1715398913.0719347,35652,203.73899841308594
1715398913.3902206,35988,203.11582946777344
1715398913.7146358,36348,199.46897888183594
1715398913.9086373,36544,199.45095825195312
1715398914.2185967,36856,208.26808166503906
1715398914.3439918,36984,222.2928009033203
1715398914.5357018,37188,231.1865234375
1715398914.8183572,37488,227.89971923828125
1715398915.0000923,37680,236.96112060546875
1715398915.217526,37920,237.2183380126953
1715398915.5671666,38308,249.1312713623047
1715398915.8240829,38584,245.83401489257812
1715398916.1816266,38984,234.364990234375
1715398916.3856418,39208,238.69674682617188
1715398916.465209,39288,254.9293212890625
1715398916.7247112,39560,263.4051208496094
1715398916.8823018,39728,263.9111022949219
1715398917.1140018,39976,268.3939208984375
1715398917.2809024,40156,273.0569152832031
1715398917.7242725,40556,278.88494873046875
1715398918.0826812,40956,279.3553466796875
1715398918.2350163,41092,293.2094421386719
1715398918.6067717,41492,293.6700439453125
1715398918.704203,41592,301.8233642578125
1715398919.0780032,41992,297.90509033203125
1715398919.3401542,42268,310.26287841796875
1715398919.5621862,42500,315.8845520019531
1715398919.930929,42900,315.5733337402344
1715398920.1827803,43168,321.142822265625
1715398920.3522902,43336,317.3128356933594
1715398920.7272663,43736,317.7723388671875
1715398920.924014,43940,314.38934326171875
1715398921.1041026,44140,323.3444519042969
1715398921.4798849,44540,310.7802429199219
1715398921.8489,44940,306.7917785644531
1715398922.0123384,45096,300.1109924316406
1715398922.4030495,45496,299.46893310546875
1715398922.7229335,45848,307.795654296875
1715398922.949059,46068,307.6086730957031
1715398923.3172224,46468,291.8200988769531
