Wall time,Step,Value
1715399181.5800989,348,1.2863545417785645
1715399181.915032,684,0.6663171052932739
1715399182.2260592,1020,-0.32969966530799866
1715399182.530504,1356,-0.8875147700309753
1715399182.841881,1692,-1.2092257738113403
1715399183.1357627,2028,-1.3840333223342896
1715399183.4439683,2364,-1.5044053792953491
1715399183.760785,2700,-1.6256802082061768
1715399184.082967,3036,-1.7089146375656128
1715399184.3980193,3372,-1.5368709564208984
1715399184.7231688,3708,-1.6145756244659424
1715399185.0566907,4044,-1.6688967943191528
1715399185.3821967,4380,-1.2848161458969116
