Wall time,Step,Value
1715444573.9504051,8192,200.0
1715444578.399283,16384,199.8000030517578
1715444582.8734689,24576,199.83999633789062
1715444587.266389,32768,200.0
1715444591.609164,40960,200.0
1715444595.962125,49152,200.0
1715444600.299226,57344,200.0
1715444604.686645,65536,200.0
1715444609.0640278,73728,200.0
1715444613.4491441,81920,200.0
1715444617.793196,90112,200.0
1715444622.118381,98304,200.0
1715444626.425801,106496,200.0
1715444630.872027,114688,200.0
1715444635.2889018,122880,199.8000030517578
1715444639.621933,131072,199.8000030517578
1715444644.242989,139264,197.07000732421875
1715444648.605362,147456,190.85000610351562
1715444653.278705,155648,165.08999633789062
1715444657.493702,163840,96.5999984741211
1715444661.959425,172032,65.33999633789062
1715444666.343256,180224,48.09000015258789
1715444670.460814,188416,42.25
1715444674.789065,196608,38.40999984741211
1715444678.8859808,204800,35.63999938964844
