Wall time,Step,Value
1715443158.2492359,8192,926.25
1715443162.728002,16384,832.388916015625
1715443167.101909,24576,759.9666748046875
1715443171.4620118,32768,812.2051391601562
1715443175.872614,40960,788.0
1715443180.271466,49152,820.0
1715443184.734585,57344,844.727294921875
1715443189.270608,65536,860.0946044921875
1715443193.8305001,73728,858.48193359375
1715443198.254604,81920,864.3010864257812
1715443202.665521,90112,866.3800048828125
1715443207.148715,98304,833.9500122070312
1715443211.513092,106496,819.219970703125
1715443215.848653,114688,737.7999877929688
1715443220.183382,122880,640.2899780273438
1715443224.489645,131072,620.9199829101562
1715443228.809673,139264,500.4100036621094
1715443233.179608,147456,433.6300048828125
1715443237.569494,155648,382.9599914550781
1715443241.9394612,163840,298.8500061035156
1715443246.2843132,172032,300.8800048828125
1715443250.586294,180224,287.75
1715443254.832095,188416,280.05999755859375
1715443259.125786,196608,252.6199951171875
1715443263.4449909,204800,260.3900146484375
